Artist,Album,Label,Year,Catalogue,Country,Link,Qty,Format
Trans Germanium Express,Best of TGE,Not On Label,2012,-,EE,Discogs|https://www.discogs.com/release/3918422-Trans-Germanium-Express-Best-Of-TGE,1,MC
Xosädam,Trypil's'kaa Skorbothaa,Trash Can Dance,2025,TCD475,EE,Discogs|https://www.discogs.com/release/35265295-Xos%C3%A4dam-Trypilskaa-Skorbothaa,1,MC
Timo Petmanson,Helisupp,Trash Can Dance,2026,TCD515,EE,Discogs|https://www.discogs.com/release/36840046-Timo-Petmanson-Helisupp,1,MC
Punkentsefaliit,Nali on Läbi,Not On Label,2022,-,EE,Discogs|https://www.discogs.com/release/22733753-Punkentsefaliit-Nali-On-L%C3%A4bi,1,MC
PJ,Sessions Recorded February 2012,Trash Can Dance,2019,TCD228,EE,Discogs|https://www.discogs.com/release/14250195-PJ-Sessions-Recorded-February-2012-Telliskivi,1,MC
Psykoterror,Elävänä Hanilas,Tallinn Old Town Records,2021,TOTR002,EE,Discogs|https://www.discogs.com/release/20769856-Psykoterror-El%C3%A4v%C3%A4n%C3%A4-Hanilas,1,MC
Erinevad Esitajad,Punk On Surn'd V,Fucking Cunt Records,2001,FCR017,EE,Discogs|https://www.discogs.com/release/6912549-Various-Punk-On-Surnd-V,1,MC
Erinevad Esitajad,Punk On Surn'd VI,Fucking Cunt Records,2004,FCR018,EE,Discogs|https://www.discogs.com/release/6910918-Various-Punk-On-Surnd-VI,1,MC
Erinevad Esitajad,Punk On Surn'd IV,Fucking Cunt Records,1999,FCR015,EE,Discogs|https://www.discogs.com/release/6572747-Various-Punk-On-Surnd-IV,1,MC
Erinevad Esitajad,"London Pirate Radio Adverts, 1984-1993",Death Is Not The End,2020,-,EE,Discogs|https://www.discogs.com/release/17242309-No-Artist-London-Pirate-Radio-Adverts-1984-1993,1,MC
Madd G,How Low,Trash Can Dance,2022,TCD373,EE,Discogs|https://www.discogs.com/release/24469970-Madd-G-How-Low,1,MC
Jam,Jam,Valindo,1994,-,EE,Discogs|https://www.discogs.com/release/6899817-Jam-Jam,1,MC
Zuke!,Super Dance Tracks! ....,Forte,1992,-,EE,Discogs|https://www.discogs.com/release/22703126-Zuke-Super-Dance-Tracks-,2,MC
"Tommy Smiley, Estonian Friends",You're The One For Me,CB Ltd,1997,CB-001,EE,Discogs|https://www.discogs.com/release/33156276-Tommy-Smiley-Estonian-Friends-Youre-The-One-For-Me,1,MC
S33R,Ultra Mega Beyond Segamix 2019,Not On Label,?,-,EE,Soundcloud|https://soundcloud.com/rseer1,1,MC
Kokonja,badik! / jylyjai,KOTA TONES,2025,KTCS005,KZ,Discogs|https://www.discogs.com/release/33701820-Kokonja-badik-jylyjai,1,MC
TATAR KYZ:LAR,AŞ,KOTA TONES,2025,KTCS006,XX,Discogs|https://www.discogs.com/release/33701904-TATAR-KYZLAR-A%C5%9E,1,MC
Alone In Deer Park - О​д​и​н в о​л​е​н​ь​е​м п​а​р​к​е,Alone In Deer Park - О​д​и​н в о​л​е​н​ь​е​м п​а​р​к​е,KOTA TONES,2024,KTCS004,XX,Discogs|https://www.discogs.com/release/32524431-Alone-In-Deer-Park-%D0%9E%D0%B4%D0%B8%D0%BD-%D0%B2-%D0%BE%D0%BB%D0%B5%D0%BD%D1%8C%D0%B5%D0%BC-%D0%BF%D0%B0%D1%80%D0%BA%D0%B5-Artem-Egorov-Alone-In-Deer-Park-%D0%9E%D0%B4%D0%B8%D0%BD-%D0%B2,1,MC
Erinevad Esitajad,Radio Active 2,Aidem Pot,?,POTMC1037,EE,Discogs|https://www.discogs.com/release/9953534-Various-Radio-Active-2,3,MC
Borax,Aurora Borealis,Heven,1994,MC1,EE,Discogs|https://www.discogs.com/release/3611793-Borax-Aurora-Borealis,1,MC
TIC,Melancholics Dream,Not On Label,1993,-,EE,NONE,1,MC
Other Eyes,Ghost Tape #9,Trash Can Dance,2023,TCD404,EE,Discogs|http://www.discogs.com/release/28850647-Other-Eyes-Ghost-Tape-9,1,MC
ID Rev,Sina Ei,Assortii,2001,-,EE,Discogs|https://www.discogs.com/release/6912419-Id_Rev-Sina-Ei,1,MC
Up'n Down & Hanka,Naeratus,Alexela,1996,ALX001,EE,Discogs|https://www.discogs.com/release/12661140-Upn-Down-Hanka-Naeratus,2,MC
Jim Arrow And The Anachrones,Jim Arrow And The Anachrones,Kuldnokk,1989,-,EE,Discogs|https://www.discogs.com/release/6545751-Jim-Arrow-The-Anachrones-Jim-Arrow-And-The-Anachrones,2,MC
Anne Watson Delestree,Basic Telephone Training,Language Teaching Publications,1999,-,UK,NONE,1,MC
Erinevad Esitajad,Twin Peeks & Silent Moments,"Hiljaiset Levyt, Stupido Twins",1991,HIST-002,FI,Discogs|https://www.discogs.com/release/3916550-Various-Twin-Peeks-Silent-Moments,1,MC
Erinevad Esitajad,TCD 400,Trash Can Dance,2024,TCD400,EE,Discogs|https://www.discogs.com/release/29770654-Various-TCD-400,1,MC
Nipernaadi,Mul meeldivad banaanid,Livon,1994,-,EE,Digar|https://www.digar.ee/arhiiv/en/perioodika/49014,1,MC
AHTEHA,Somnambula,Trash Can Dance,,TCD379,EE,Discogs|https://www.discogs.com/release/27798201-AHTEHA-Somnambula,1,MC
The Wedding Present,Tommy,Reception,1988,LEEDS 02C,UK,Discogs|https://www.discogs.com/release/2062819-The-Wedding-Present-Tommy,1,MC
Urmas Sisask,Jäärast Kaladeni,Not On Label,1997,-,EE,Discogs|https://www.discogs.com/release/7075227-Urmas-Sisask-J%C3%A4%C3%A4rast-Kaladeni,1,MC
Endamisi Salamisi,Poe Dameron EP,Isaiah Tapes,2015,ISTP002,RU,Discogs|https://www.discogs.com/release/7090177-Endamisi-Salamisi-Poe-Dameron-EP,1,MC
Gearmaster,30003,Hidden Assets,2024,HA07,EE,Discogs|https://www.discogs.com/release/30302834-Gearmaster-30003,1,MC
Out-Or,Unreleased Debut,Trash Can Dance,2024,TCD427,EE,Discogs|https://www.discogs.com/release/30725147-Out-Or-Unreleased-Debut,1,MC
Operatsioon Õ,... Pärineb Kogemustest,Not On Label,2000,2,EE,Discogs|https://www.discogs.com/release/6911687-Operatsioon-%C3%95--P%C3%A4rineb-Kogemustest,1,MC
Düsentroop,Düsentroop,Trash Can Dance,2024,TCD428,EE,Discogs|https://www.discogs.com/release/30735217-D%C3%BCsentroop-D%C3%BCsentroop,1,MC
Kroma,UnFuture,Trash Can Dance,2024,TCD419,EE,Discogs|https://www.discogs.com/release/29767459-Kroma-UnFuture,1,MC
Day Of The Triangle,Twencen Drag Party,Trash Can Dance,2024,TCD430,EE,Discogs|https://www.discogs.com/release/30452237-Day-Of-The-Triangle-Twencen-Drag-Party,1,MC
Henri Hütt,Võimatus Kui Elustiil,Trash Can Dance,2024,TCD416,EE,Discogs|https://www.discogs.com/release/30012013-Henri-H%C3%BCtt-V%C3%B5imatus-Kui-Elustiil,1,MC
Tont,Džunglirada,Trash Can Dance,2020,TCD266,EE,Discogs|https://www.discogs.com/release/15564769-Tont-D%C5%BEunglirada,1,MC
Gatesleeper,Crystal Hearts,Trash Can Dance,2024,TCD411,EE,Discogs|https://www.discogs.com/release/29768113-Gatesleeper-Crystal-Hearts,2,MC
Erinevad Esitajad,Bleep Tape,Mixtape On Tape,2022,-,EE,Discogs|https://www.discogs.com/release/25683451-Various-Bleep-Tape,1,MC
Luurel Varas,Luurel Varas,Not On Label,2016,-,EE,Discogs|https://www.discogs.com/release/8626124-Luurel-Varas-Luurel-Varas,1,MC
Käärkäsi,Sinine Kassett,Not On Label,2020,-,EE,Bandcamp|https://kaarkasi.bandcamp.com/album/sinine-kassett,1,MC
The Lunacy Of Flowers,Dead Man's Letters : Mixtape,L.O.T.S Records,2024,LOTS004,EE,Discogs|https://www.discogs.com/release/30967261-The-Lunacy-Of-Flowers-Dead-Mans-Letters-Mixtape-,1,MC
Alex Kelman,Ilusia,Geertruida,2023,TRUI108,NL,Discogs|https://www.discogs.com/release/27117192-Alex-Kelman-Ilusia,1,MC
Tallinna Tehnikaülikooli Meeskoor,Tallinna Tehnikaülikooli Meeskoor,Tallinna Helikassettitehas,1990,14,EE,NONE,1,MC
